,covid-free
11679,0.0
12165,0.0
10861,0.0
19296,0.0
16372,0.0
12731,0.0
11071,0.0
15504,0.0
10622,0.0
11855,0.0
13827,0.0
10496,0.0
18891,0.0
11033,0.0
15692,0.0
13733,0.0
19679,0.0
16451,0.0
10184,0.0
17666,0.0
12868,0.0
19112,0.0
15713,0.0
17427,0.0
16888,0.0
11615,0.0
19843,0.0
14164,0.0
12441,0.0
19883,0.0
19888,0.0
18370,0.0
17743,0.0
15675,0.0
15050,0.0
11219,0.0
19320,0.0
14129,0.0
12624,0.0
11889,0.0
16854,0.0
13797,0.0
18484,0.0
16870,0.0
13740,0.0
16885,0.0
15482,0.0
12085,0.0
19267,0.0
12341,0.0
19825,0.0
14774,0.0
19995,0.0
16699,0.0
16026,0.0
12175,0.0
10754,0.0
12698,0.0
17020,0.0
11150,0.0
13865,0.0
11134,0.0
10222,0.0
10710,0.0
15983,0.0
18650,0.0
11188,0.0
14834,0.0
18830,0.0
19489,0.0
19516,0.0
10422,0.0
13546,0.0
19001,0.0
19153,0.0
14149,0.0
15451,0.0
14531,0.0
18090,0.0
18911,0.0
12016,0.0
13016,0.0
11024,0.0
12084,0.0
18063,0.0
18233,0.0
10125,0.0
18767,0.0
19681,0.0
12838,0.0
16805,0.0
16484,0.0
10254,0.0
11309,0.0
17246,0.0
10671,0.0
12043,0.0
19592,0.0
18314,0.0
10540,0.0
13750,0.0
16134,0.0
12727,0.0
18580,0.0
15104,0.0
16520,0.0
10421,0.0
18843,0.0
12610,0.0
19821,0.0
15475,0.0
16491,0.0
14638,0.0
12589,0.0
12750,0.0
18036,0.0
12508,0.0
12365,0.0
13747,0.0
17876,0.0
18662,0.0
11765,0.0
14263,0.0
16425,0.0
12566,0.0
12567,0.0
18809,0.0
16632,0.0
14486,0.0
10797,0.0
18315,0.0
10638,0.0
11911,0.0
13132,0.0
16654,0.0
14409,0.0
10846,0.0
15830,0.0
12360,0.0
14208,0.0
16157,0.0
11866,0.0
11786,0.0
15485,0.0
13582,0.0
13031,0.0
18674,0.0
18485,0.0
19704,0.0
16658,0.0
17548,0.0
12726,0.0
15051,0.0
11046,0.0
14269,0.0
11676,0.0
15547,0.0
12690,0.0
15033,0.0
18593,0.0
15234,0.0
11751,0.0
16326,0.0
15748,0.0
11486,0.0
16207,0.0
19938,0.0
10092,0.0
12538,0.0
11369,0.0
14725,0.0
14127,0.0
10010,0.0
11496,0.0
12011,0.0
10799,0.0
18110,0.0
12270,0.0
10196,0.0
10683,0.0
16035,0.0
18340,0.0
17426,0.0
19235,0.0
10863,0.0
10077,0.0
15741,0.0
19755,0.0
14617,0.0
13803,0.0
18860,0.0
14422,0.0
17968,0.0
16053,0.0
17780,0.0
10547,0.0
12335,0.0
18387,0.0
15775,0.0
13361,0.0
