,pop_density,flu_shot,covid_shots,bmi_diff
11562,-0.4,0.0,0.0,-0.0
11993,-0.6,0.0,0.0,0.0
19770,-0.1,0.0,2.0,0.0
17186,0.0,0.0,1.0,0.0
19449,0.0,0.0,2.0,-0.0
10293,-0.1,0.0,0.0,0.0
19848,-0.9,0.0,0.0,-0.0
12168,-0.7,0.0,1.0,-0.2
15678,-0.0,0.0,1.0,-0.0
18540,0.0,0.0,1.0,0.0
13788,0.1,0.0,2.0,-0.0
10358,-0.0,0.0,1.0,0.0
19846,-0.0,0.0,1.0,0.0
14485,-0.6,0.0,0.0,-0.0
10245,-0.0,0.0,1.0,0.0
16707,-0.2,0.0,1.0,-0.1
19350,0.1,0.0,0.0,0.0
16677,0.0,0.0,0.0,-0.0
13804,0.0,0.0,1.0,-0.0
14000,0.0,0.0,1.0,-0.0
12709,-0.0,0.0,1.0,0.0
18688,0.0,0.0,1.0,-0.0
14145,0.0,0.0,1.0,-0.0
18368,-0.0,0.0,2.0,-0.0
18849,-0.9,0.0,1.0,0.0
13211,-0.0,0.0,2.0,0.0
11823,0.0,0.0,1.0,-0.0
19035,-0.1,0.0,2.0,0.0
12987,0.0,0.0,1.0,-0.0
12920,0.0,0.0,1.0,0.0
18863,-0.0,0.0,1.0,-0.0
16636,0.0,0.0,1.0,0.0
11745,-0.8,0.0,0.0,0.0
11288,0.0,1.0,0.0,0.0
10881,-0.0,0.0,1.0,0.0
18057,-0.1,0.0,1.0,0.0
11072,0.0,0.0,2.0,-0.0
17885,-0.7,0.0,0.0,0.2
10263,-0.0,0.0,0.0,0.1
18522,-0.1,0.0,1.0,0.0
14347,-0.8,0.0,0.0,0.1
13499,-0.0,0.0,1.0,0.0
13737,-0.0,0.0,2.0,0.0
18533,-0.0,0.0,1.0,0.0
17683,-0.7,0.0,0.0,0.0
18002,-0.3,0.0,1.0,0.0
19294,-0.3,0.0,1.0,0.0
12157,-0.1,0.0,1.0,-0.0
13994,0.0,0.0,1.0,0.0
17839,0.0,0.0,1.0,-0.0
11345,0.0,0.0,1.0,-0.0
14459,0.0,0.0,1.0,0.0
10124,0.0,0.0,1.0,-0.0
18130,-0.0,0.0,1.0,0.0
12078,0.0,0.0,1.0,0.0
15937,-0.0,0.0,0.0,0.1
19510,-0.1,0.0,2.0,0.0
15138,-0.7,0.0,2.0,0.1
10963,0.1,0.0,2.0,0.0
10683,-0.6,0.0,0.0,-0.0
12531,-0.0,0.0,1.0,0.0
17353,0.0,0.0,1.0,-0.0
15757,-0.1,0.0,1.0,0.0
17802,-0.0,0.0,0.0,0.0
17291,0.0,0.0,2.0,0.0
16474,-0.0,0.0,0.0,0.1
10717,0.0,0.0,2.0,0.0
17806,0.0,0.0,0.0,0.0
